Trial ID,Dropout Stage,Interruption Duration (sec),Reconnection Time (sec),Post-recovery Action,Update Success
Trial 001,Mid-Download,42,0.1069,Resume Cache Hash Sync,Yes
Trial 002,During Polling,76,0.1368,Resume GitHub API Poll,Yes
Trial 003,Mid-Download,91,0.1094,Resume Cache Hash Sync,Yes
Trial 004,During Polling,795,0.1289,Resume GitHub API Poll,Yes
Trial 005,Mid-Download,10,0.1256,Resume Cache Hash Sync,Yes
Trial 006,During Polling,32,0.1107,Resume GitHub API Poll,Yes
Trial 007,Mid-Download,79,0.1296,Resume Cache Hash Sync,Yes
Trial 008,During Polling,32,0.1217,Resume GitHub API Poll,Yes
Trial 009,Mid-Download,248,0.1084,Resume Cache Hash Sync,Yes
Trial 010,During Polling,1113,0.1077,Resume GitHub API Poll,Yes
Trial 011,Mid-Download,127,0.1253,Resume Cache Hash Sync,Yes
Trial 012,During Polling,1189,0.1272,Resume GitHub API Poll,Yes
Trial 013,Mid-Download,66,0.1238,Resume Cache Hash Sync,Yes
Trial 014,During Polling,216,0.1442,Resume GitHub API Poll,Yes
Trial 015,Mid-Download,34,0.1056,Resume Cache Hash Sync,Yes
Trial 016,During Polling,452,0.602,Resume GitHub API Poll,Yes
Trial 017,Mid-Download,239,0.602,Resume Cache Hash Sync,Yes
Trial 018,During Polling,349,0.67,Resume GitHub API Poll,Yes
Trial 019,Mid-Download,54,0.1375,Resume Cache Hash Sync,Yes
Trial 020,During Polling,223,0.1572,Resume GitHub API Poll,Yes
Trial 021,Mid-Download,274,0.1632,Resume Cache Hash Sync,Yes
Trial 022,During Polling,101,0.1313,Resume GitHub API Poll,Yes
Trial 023,Mid-Download,19,0.1526,Resume Cache Hash Sync,Yes
Trial 024,During Polling,958,0.1255,Resume GitHub API Poll,Yes
Trial 025,Mid-Download,26,0.1556,Resume Cache Hash Sync,Yes
Trial 026,During Polling,724,0.1366,Resume GitHub API Poll,Yes
Trial 027,Mid-Download,44,0.1399,Resume Cache Hash Sync,Yes
Trial 028,During Polling,515,0.1429,Resume GitHub API Poll,Yes
Trial 029,Mid-Download,11,0.1499,Resume Cache Hash Sync,Yes
Trial 030,During Polling,39,0.1585,Resume GitHub API Poll,Yes
Trial 031,Mid-Download,12,0.1502,Resume Cache Hash Sync,Yes
Trial 032,During Polling,37,0.156,Resume GitHub API Poll,Yes
Trial 033,Mid-Download,82,0.14,Resume Cache Hash Sync,Yes
Trial 034,During Polling,83,0.1623,Resume GitHub API Poll,Yes
Trial 035,Mid-Download,51,0.1315,Resume Cache Hash Sync,Yes
Trial 036,During Polling,284,0.1387,Resume GitHub API Poll,Yes
Trial 037,Mid-Download,472,0.1347,Resume Cache Hash Sync,Yes
Trial 038,During Polling,14,0.141,Resume GitHub API Poll,Yes
Trial 039,Mid-Download,80,0.1638,Resume Cache Hash Sync,Yes
Trial 040,During Polling,23,0.1358,Resume GitHub API Poll,Yes
Trial 041,Mid-Download,16,0.1371,Resume Cache Hash Sync,Yes
Trial 042,During Polling,41,0.1418,Resume GitHub API Poll,Yes
Trial 043,Mid-Download,321,0.1307,Resume Cache Hash Sync,Yes
Trial 044,During Polling,85,0.1419,Resume GitHub API Poll,Yes
Trial 045,Mid-Download,335,0.1605,Resume Cache Hash Sync,Yes
Trial 046,During Polling,195,0.1414,Resume GitHub API Poll,Yes
Trial 047,Mid-Download,220,0.1557,Resume Cache Hash Sync,Yes
Trial 048,During Polling,13,0.1508,Resume GitHub API Poll,Yes
Trial 049,Mid-Download,71,0.1445,Resume Cache Hash Sync,Yes
Trial 050,During Polling,375,0.1304,Resume GitHub API Poll,Yes
Trial 051,Mid-Download,11,0.1579,Resume Cache Hash Sync,Yes
Trial 052,During Polling,265,0.1415,Resume GitHub API Poll,Yes
Trial 053,Mid-Download,18,0.1334,Resume Cache Hash Sync,Yes
Trial 054,During Polling,226,0.1385,Resume GitHub API Poll,Yes
Trial 055,Mid-Download,986,0.1253,Resume Cache Hash Sync,Yes
Trial 056,During Polling,21,0.142,Resume GitHub API Poll,Yes
Trial 057,Mid-Download,60,0.1418,Resume Cache Hash Sync,Yes
Trial 058,During Polling,14,0.1295,Resume GitHub API Poll,Yes
Trial 059,Mid-Download,58,0.1366,Resume Cache Hash Sync,Yes
Trial 060,During Polling,38,0.1624,Resume GitHub API Poll,Yes
Trial 061,Mid-Download,11,0.1314,Resume Cache Hash Sync,Yes
Trial 062,During Polling,122,0.1605,Resume GitHub API Poll,Yes
Trial 063,Mid-Download,17,0.155,Resume Cache Hash Sync,Yes
Trial 064,During Polling,300,0.1326,Resume GitHub API Poll,Yes
Trial 065,Mid-Download,192,0.1518,Resume Cache Hash Sync,Yes
Trial 066,During Polling,1250,0.132,Resume GitHub API Poll,Yes
Trial 067,Mid-Download,19,0.127,Resume Cache Hash Sync,Yes
Trial 068,During Polling,23,0.1525,Resume GitHub API Poll,Yes
Trial 069,Mid-Download,1242,0.1564,Resume Cache Hash Sync,Yes
Trial 070,During Polling,1076,0.1635,Resume GitHub API Poll,Yes
Trial 071,Mid-Download,252,0.1524,Resume Cache Hash Sync,Yes
Trial 072,During Polling,142,0.1356,Resume GitHub API Poll,Yes
Trial 073,Mid-Download,42,0.1303,Resume Cache Hash Sync,Yes
Trial 074,During Polling,309,0.152,Resume GitHub API Poll,Yes
Trial 075,Mid-Download,23,0.1385,Resume Cache Hash Sync,Yes
Trial 076,During Polling,29,0.1634,Resume GitHub API Poll,Yes
Trial 077,Mid-Download,460,0.1335,Resume Cache Hash Sync,Yes
Trial 078,During Polling,109,0.1384,Resume GitHub API Poll,Yes
Trial 079,Mid-Download,159,0.1427,Resume Cache Hash Sync,Yes
Trial 080,During Polling,1159,0.1292,Resume GitHub API Poll,Yes
Trial 081,Mid-Download,719,0.1266,Resume Cache Hash Sync,Yes
Trial 082,During Polling,68,0.1527,Resume GitHub API Poll,Yes
Trial 083,Mid-Download,101,0.1404,Resume Cache Hash Sync,Yes
Trial 084,During Polling,72,0.147,Resume GitHub API Poll,Yes
Trial 085,Mid-Download,18,0.1367,Resume Cache Hash Sync,Yes
Trial 086,During Polling,14,0.1426,Resume GitHub API Poll,Yes
Trial 087,Mid-Download,122,0.1291,Resume Cache Hash Sync,Yes
Trial 088,During Polling,550,0.1461,Resume GitHub API Poll,Yes
Trial 089,Mid-Download,171,0.1547,Resume Cache Hash Sync,Yes
Trial 090,During Polling,18,0.1441,Resume GitHub API Poll,Yes
Trial 091,Mid-Download,665,0.1573,Resume Cache Hash Sync,Yes
Trial 092,During Polling,122,0.1362,Resume GitHub API Poll,Yes
Trial 093,Mid-Download,21,0.1614,Resume Cache Hash Sync,Yes
Trial 094,During Polling,29,0.1619,Resume GitHub API Poll,Yes
Trial 095,Mid-Download,122,0.1354,Resume Cache Hash Sync,Yes
Trial 096,During Polling,14,0.1319,Resume GitHub API Poll,Yes
