Update Run ID,Legacy Dispatch Cost (£),Legacy Cumulative Cost (£),Automated OTA Cost (£),Automated OTA Cumulative Cost (£),Net Financial Savings (£)
Run 001,4855.74,4855.74,0.043,0.043,4855.7
Run 002,4842.28,9698.02,0.049,0.092,9697.93
Run 003,4811.41,14509.44,0.058,0.15,14509.29
Run 004,4664.51,19173.94,0.066,0.216,19173.73
Run 005,4644.5,23818.44,0.061,0.277,23818.16
Run 006,4890.52,28708.96,0.052,0.329,28708.63
Run 007,4614.69,33323.64,0.049,0.378,33323.27
Run 008,4846.03,38169.67,0.045,0.423,38169.25
Run 009,4885.63,43055.3,0.066,0.489,43054.81
Run 010,4766.79,47822.09,0.057,0.545,47821.54
Run 011,4628.42,52450.5,0.043,0.588,52449.92
Run 012,4838.14,57288.65,0.044,0.632,57288.01
Run 013,4618.5,61907.15,0.063,0.695,61906.45
Run 014,4666.69,66573.83,0.046,0.741,66573.09
Run 015,4720.17,71294.01,0.061,0.802,71293.21
Run 016,4881.27,76175.28,0.043,0.844,76174.44
Run 017,4775.84,80951.12,0.068,0.912,80950.2
Run 018,4622.5,85573.61,0.07,0.982,85572.63
Run 019,4659.33,90232.94,0.059,1.041,90231.9
Run 020,4842.79,95075.73,0.043,1.084,95074.64
Run 021,4854.18,99929.91,0.064,1.148,99928.76
Run 022,4636.76,104566.67,0.068,1.216,104565.45
Run 023,4615.19,109181.86,0.068,1.284,109180.57
Run 024,4729.95,113911.81,0.062,1.346,113910.46
Run 025,4748.84,118660.64,0.051,1.397,118659.25
Run 026,4728.0,123388.64,0.051,1.448,123387.2
Run 027,4872.49,128261.13,0.048,1.496,128259.64
Run 028,4733.8,132994.94,0.044,1.541,132993.4
Run 029,4784.23,137779.17,0.059,1.599,137777.57
Run 030,4794.18,142573.35,0.055,1.654,142571.7
Run 031,4864.83,147438.19,0.054,1.709,147436.48
Run 032,4626.32,152064.5,0.051,1.76,152062.74
Run 033,4725.77,156790.27,0.059,1.819,156788.45
Run 034,4839.16,161629.43,0.047,1.867,161627.57
Run 035,4898.23,166527.66,0.056,1.923,166525.74
Run 036,4605.86,171133.52,0.051,1.975,171131.54
Run 037,4814.01,175947.53,0.054,2.029,175945.5
Run 038,4834.43,180781.96,0.05,2.079,180779.88
Run 039,4769.7,185551.66,0.05,2.129,185549.53
Run 040,4681.13,190232.79,0.041,2.17,190230.62
Run 041,4779.13,195011.92,0.041,2.211,195009.71
Run 042,4843.21,199855.13,0.048,2.259,199852.87
Run 043,4842.6,204697.72,0.054,2.313,204695.41
Run 044,4707.23,209404.95,0.058,2.371,209402.58
Run 045,4669.83,214074.78,0.045,2.416,214072.37
Run 046,4674.36,218749.14,0.047,2.463,218746.68
Run 047,4760.11,223509.25,0.064,2.526,223506.72
Run 048,4821.12,228330.36,0.063,2.589,228327.78
Run 049,4884.34,233214.71,0.057,2.647,233212.06
Run 050,4894.8,238109.5,0.052,2.698,238106.81
Run 051,4880.56,242990.07,0.07,2.768,242987.3
Run 052,4652.11,247642.18,0.047,2.815,247639.36
Run 053,4695.4,252337.58,0.062,2.877,252334.7
Run 054,4707.63,257045.22,0.058,2.935,257042.28
Run 055,4811.04,261856.25,0.051,2.986,261853.27
Run 056,4770.3,266626.55,0.044,3.03,266623.52
Run 057,4884.51,271511.06,0.065,3.095,271507.96
Run 058,4843.12,276354.18,0.069,3.164,276351.01
Run 059,4762.64,281116.82,0.045,3.209,281113.61
Run 060,4611.39,285728.21,0.042,3.251,285724.95
Run 061,4780.5,290508.7,0.041,3.292,290505.41
Run 062,4743.4,295252.1,0.05,3.342,295248.76
Run 063,4784.24,300036.34,0.064,3.406,300032.94
Run 064,4702.23,304738.57,0.045,3.451,304735.12
Run 065,4840.73,309579.3,0.066,3.517,309575.78
Run 066,4617.87,314197.16,0.044,3.562,314193.6
Run 067,4811.41,319008.57,0.044,3.606,319004.97
Run 068,4633.28,323641.85,0.056,3.662,323638.19
Run 069,4709.47,328351.31,0.042,3.704,328347.61
Run 070,4811.36,333162.68,0.06,3.764,333158.91
Run 071,4775.8,337938.48,0.05,3.814,337934.67
Run 072,4696.78,342635.26,0.069,3.883,342631.38
Run 073,4819.71,347454.97,0.053,3.936,347451.03
Run 074,4791.78,352246.75,0.055,3.991,352242.76
Run 075,4695.19,356941.93,0.061,4.052,356937.88
Run 076,4768.59,361710.53,0.067,4.119,361706.41
Run 077,4784.11,366494.64,0.051,4.169,366490.47
Run 078,4799.66,371294.3,0.064,4.234,371290.06
Run 079,4713.52,376007.81,0.062,4.296,376003.52
Run 080,4688.36,380696.17,0.045,4.341,380691.83
Run 081,4600.54,385296.71,0.061,4.402,385292.31
Run 082,4771.85,390068.56,0.066,4.468,390064.09
Run 083,4831.25,394899.81,0.057,4.525,394895.28
Run 084,4654.62,399554.43,0.05,4.574,399549.86
Run 085,4842.64,404397.07,0.058,4.633,404392.44
Run 086,4791.89,409188.97,0.043,4.676,409184.29
Run 087,4748.86,413937.82,0.05,4.726,413933.1
Run 088,4623.34,418561.17,0.05,4.776,418556.39
Run 089,4695.86,423257.02,0.059,4.835,423252.19
Run 090,4888.92,428145.95,0.065,4.9,428141.05
Run 091,4801.01,432946.95,0.062,4.962,432941.99
Run 092,4700.72,437647.68,0.04,5.002,437642.68
Run 093,4662.91,442310.58,0.061,5.063,442305.52
Run 094,4705.14,447015.73,0.064,5.126,447010.6
Run 095,4816.12,451831.85,0.041,5.168,451826.68
Run 096,4731.47,456563.32,0.053,5.221,456558.1
Run 097,4649.9,461213.22,0.052,5.273,461207.95
Run 098,4864.53,466077.75,0.051,5.323,466072.43
Run 099,4712.6,470790.35,0.065,5.388,470784.97
Run 100,4836.62,475626.97,0.057,5.446,475621.53
Run 101,4827.47,480454.45,0.047,5.492,480448.95
Run 102,4735.39,485189.83,0.064,5.556,485184.28
Run 103,4610.02,489799.86,0.041,5.597,489794.26
Run 104,4678.34,494478.19,0.043,5.64,494472.55
Run 105,4702.54,499180.74,0.067,5.707,499175.03
Run 106,4648.27,503829.01,0.042,5.749,503823.26
Run 107,4882.55,508711.56,0.069,5.818,508705.74
Run 108,4701.39,513412.94,0.07,5.888,513407.06
Run 109,4867.97,518280.91,0.061,5.949,518274.96
Run 110,4729.4,523010.31,0.06,6.009,523004.3
Run 111,4782.2,527792.5,0.053,6.062,527786.44
Run 112,4616.07,532408.57,0.05,6.112,532402.46
Run 113,4892.32,537300.89,0.052,6.164,537294.73
Run 114,4766.23,542067.12,0.068,6.232,542060.89
Run 115,4762.04,546829.16,0.06,6.292,546822.87
Run 116,4689.22,551518.38,0.043,6.334,551512.05
Run 117,4717.87,556236.25,0.056,6.391,556229.86
Run 118,4747.28,560983.54,0.042,6.433,560977.1
Run 119,4601.14,565584.68,0.043,6.475,565578.21
Run 120,4847.17,570431.85,0.059,6.534,570425.32
Run 121,4744.1,575175.95,0.043,6.577,575169.37
Run 122,4662.09,579838.04,0.059,6.636,579831.4
Run 123,4893.12,584731.15,0.054,6.69,584724.46
Run 124,4634.65,589365.81,0.064,6.754,589359.05
Run 125,4741.28,594107.09,0.067,6.821,594100.27
Run 126,4679.5,598786.59,0.059,6.88,598779.71
Run 127,4716.26,603502.85,0.051,6.931,603495.92
Run 128,4714.43,608217.28,0.046,6.977,608210.3
Run 129,4613.39,612830.67,0.053,7.03,612823.64
Run 130,4679.02,617509.69,0.065,7.095,617502.59
Run 131,4769.27,622278.96,0.045,7.139,622271.82
Run 132,4808.94,627087.9,0.043,7.182,627080.72
Run 133,4800.44,631888.34,0.064,7.247,631881.1
Run 134,4724.2,636612.54,0.063,7.309,636605.23
Run 135,4668.25,641280.79,0.042,7.351,641273.44
Run 136,4716.13,645996.93,0.056,7.407,645989.52
Run 137,4889.69,650886.61,0.061,7.467,650879.15
Run 138,4880.91,655767.52,0.057,7.525,655760.0
Run 139,4670.69,660438.22,0.049,7.573,660430.64
Run 140,4718.44,665156.66,0.066,7.639,665149.02
Run 141,4610.42,669767.08,0.057,7.696,669759.38
Run 142,4755.05,674522.12,0.057,7.753,674514.37
Run 143,4894.83,679416.95,0.044,7.798,679409.15
Run 144,4884.78,684301.72,0.053,7.851,684293.87
Run 145,4884.72,689186.44,0.045,7.896,689178.55
Run 146,4663.57,693850.01,0.046,7.942,693842.07
Run 147,4612.8,698462.81,0.042,7.984,698454.83
Run 148,4804.94,703267.75,0.046,8.03,703259.72
Run 149,4846.77,708114.52,0.044,8.075,708106.44
Run 150,4778.51,712893.03,0.05,8.125,712884.91
Run 151,4818.13,717711.16,0.064,8.189,717702.97
Run 152,4626.11,722337.27,0.057,8.245,722329.03
Run 153,4765.62,727102.89,0.066,8.311,727094.58
Run 154,4755.91,731858.79,0.068,8.379,731850.42
Run 155,4603.71,736462.5,0.061,8.44,736454.06
Run 156,4776.27,741238.78,0.063,8.503,741230.27
Run 157,4633.76,745872.53,0.044,8.548,745863.98
Run 158,4769.98,750642.51,0.057,8.605,750633.91
Run 159,4889.45,755531.96,0.043,8.648,755523.31
Run 160,4631.69,760163.65,0.063,8.711,760154.94
Run 161,4835.72,764999.37,0.066,8.777,764990.6
Run 162,4864.04,769863.41,0.066,8.844,769854.57
Run 163,4679.24,774542.66,0.06,8.903,774533.75
Run 164,4771.61,779314.26,0.054,8.958,779305.31
Run 165,4651.66,783965.92,0.052,9.01,783956.91
Run 166,4785.47,788751.4,0.06,9.07,788742.33
Run 167,4720.52,793471.91,0.052,9.122,793462.79
Run 168,4863.69,798335.6,0.061,9.183,798326.42
Run 169,4614.79,802950.39,0.054,9.237,802941.15
Run 170,4680.58,807630.96,0.051,9.288,807621.67
Run 171,4701.36,812332.32,0.064,9.352,812322.97
Run 172,4693.28,817025.61,0.065,9.417,817016.19
Run 173,4857.47,821883.08,0.061,9.478,821873.6
Run 174,4891.75,826774.83,0.047,9.525,826765.3
Run 175,4690.14,831464.97,0.062,9.587,831455.38
Run 176,4832.21,836297.18,0.05,9.637,836287.54
Run 177,4818.64,841115.82,0.058,9.695,841106.12
Run 178,4626.79,845742.61,0.053,9.748,845732.86
Run 179,4874.03,850616.63,0.052,9.8,850606.83
Run 180,4745.34,855361.97,0.055,9.856,855352.12
Run 181,4712.17,860074.15,0.042,9.897,860064.25
Run 182,4837.45,864911.59,0.042,9.939,864901.65
Run 183,4812.87,869724.46,0.052,9.991,869714.47
Run 184,4834.15,874558.62,0.056,10.047,874548.57
Run 185,4770.6,879329.22,0.045,10.092,879319.13
Run 186,4862.55,884191.77,0.046,10.138,884181.64
Run 187,4617.29,888809.06,0.041,10.179,888798.88
Run 188,4615.17,893424.23,0.051,10.23,893414.0
Run 189,4659.73,898083.96,0.051,10.281,898073.68
Run 190,4739.27,902823.23,0.052,10.333,902812.9
Run 191,4876.92,907700.15,0.06,10.394,907689.76
Run 192,4672.58,912372.73,0.055,10.448,912362.28
Run 193,4733.83,917106.56,0.069,10.517,917096.05
Run 194,4742.37,921848.94,0.057,10.574,921838.36
Run 195,4703.27,926552.21,0.065,10.639,926541.57
Run 196,4677.6,931229.81,0.065,10.704,931219.11
Run 197,4627.12,935856.93,0.041,10.745,935846.18
Run 198,4614.9,940471.82,0.066,10.81,940461.01
Run 199,4833.95,945305.77,0.046,10.857,945294.92
Run 200,4666.41,949972.18,0.047,10.903,949961.28
Run 201,4662.02,954634.2,0.06,10.963,954623.23
Run 202,4753.98,959388.18,0.066,11.029,959377.15
