Incident ID,Physical Downtime (sec),Self-Healing Speed (sec),Gross Callout Cost (£),Duration Penalty (£),Net Savings (£),Cumulative Savings (£)
OUT-350-001,2700.0,2.93,4750.0,5.16,4744.84,4744.84
OUT-350-002,2700.0,2.99,4750.0,5.25,4744.75,9489.59
OUT-350-003,2700.0,2.82,4750.0,4.96,4745.04,14234.63
OUT-350-004,2700.0,2.19,4750.0,3.85,4746.15,18980.77
OUT-350-005,2700.0,2.28,4750.0,4.02,4745.98,23726.75
OUT-350-006,2700.0,2.76,4750.0,4.86,4745.14,28471.89
OUT-350-007,2700.0,2.26,4750.0,3.98,4746.02,33217.91
OUT-350-008,2700.0,2.42,4750.0,4.26,4745.74,37963.65
OUT-350-009,2700.0,1.9,4750.0,3.34,4746.66,42710.31
OUT-350-010,2700.0,2.02,4750.0,3.56,4746.44,47456.75
OUT-350-011,2700.0,2.64,4750.0,4.64,4745.36,52202.11
OUT-350-012,2700.0,2.33,4750.0,4.1,4745.9,56948.01
OUT-350-013,2700.0,2.2,4750.0,3.86,4746.14,61694.15
OUT-350-014,2700.0,2.42,4750.0,4.27,4745.73,66439.88
OUT-350-015,2700.0,2.62,4750.0,4.61,4745.39,71185.27
OUT-350-016,2700.0,2.4,4750.0,4.21,4745.79,75931.05
OUT-350-017,2700.0,2.57,4750.0,4.52,4745.48,80676.54
OUT-350-018,2700.0,2.54,4750.0,4.46,4745.54,85422.07
OUT-350-019,2700.0,2.4,4750.0,4.22,4745.78,90167.85
OUT-350-020,2700.0,2.5,4750.0,4.39,4745.61,94913.46
OUT-350-021,2700.0,2.15,4750.0,3.77,4746.23,99659.69
OUT-350-022,2700.0,2.3,4750.0,4.05,4745.95,104405.64
OUT-350-023,2700.0,1.77,4750.0,3.11,4746.89,109152.54
OUT-350-024,2700.0,2.03,4750.0,3.58,4746.42,113898.96
OUT-350-025,2700.0,2.03,4750.0,3.56,4746.44,118645.4
OUT-350-026,2700.0,2.34,4750.0,4.12,4745.88,123391.28
OUT-350-027,2700.0,2.95,4750.0,5.19,4744.81,128136.09
OUT-350-028,2700.0,2.5,4750.0,4.39,4745.61,132881.7
OUT-350-029,2700.0,2.56,4750.0,4.5,4745.5,137627.19
OUT-350-030,2700.0,2.12,4750.0,3.73,4746.27,142373.46
OUT-350-031,2700.0,2.61,4750.0,4.6,4745.4,147118.86
OUT-350-032,2700.0,3.18,4750.0,5.59,4744.41,151863.27
OUT-350-033,2700.0,2.47,4750.0,4.34,4745.66,156608.93
OUT-350-034,2700.0,2.17,4750.0,3.82,4746.18,161355.11
OUT-350-035,2700.0,2.03,4750.0,3.58,4746.42,166101.53
OUT-350-036,2700.0,2.61,4750.0,4.58,4745.42,170846.95
OUT-350-037,2700.0,2.12,4750.0,3.74,4746.26,175593.21
OUT-350-038,2700.0,2.79,4750.0,4.9,4745.1,180338.31
OUT-350-039,2700.0,2.1,4750.0,3.69,4746.31,185084.63
OUT-350-040,2700.0,1.84,4750.0,3.23,4746.77,189831.4
OUT-350-041,2700.0,2.69,4750.0,4.74,4745.26,194576.66
OUT-350-042,2700.0,1.98,4750.0,3.49,4746.51,199323.17
OUT-350-043,2700.0,2.74,4750.0,4.82,4745.18,204068.35
OUT-350-044,2700.0,2.91,4750.0,5.13,4744.87,208813.22
OUT-350-045,2700.0,2.26,4750.0,3.98,4746.02,213559.24
OUT-350-046,2700.0,2.58,4750.0,4.54,4745.46,218304.69
OUT-350-047,2700.0,3.06,4750.0,5.38,4744.62,223049.32
OUT-350-048,2700.0,2.31,4750.0,4.07,4745.93,227795.24
OUT-350-049,2700.0,3.14,4750.0,5.52,4744.48,232539.72
OUT-350-050,2700.0,2.37,4750.0,4.17,4745.83,237285.55
OUT-350-051,2700.0,2.12,4750.0,3.74,4746.26,242031.82
OUT-350-052,2700.0,2.54,4750.0,4.47,4745.53,246777.35
OUT-350-053,2700.0,2.59,4750.0,4.56,4745.44,251522.79
OUT-350-054,2700.0,2.95,4750.0,5.2,4744.8,256267.6
OUT-350-055,2700.0,2.85,4750.0,5.02,4744.98,261012.57
OUT-350-056,2700.0,2.65,4750.0,4.66,4745.34,265757.92
OUT-350-057,2700.0,2.76,4750.0,4.86,4745.14,270503.06
OUT-350-058,2700.0,2.57,4750.0,4.53,4745.47,275248.53
OUT-350-059,2700.0,2.82,4750.0,4.96,4745.04,279993.58
OUT-350-060,2700.0,2.29,4750.0,4.03,4745.97,284739.54
OUT-350-061,2700.0,2.07,4750.0,3.64,4746.36,289485.91
OUT-350-062,2700.0,2.58,4750.0,4.54,4745.46,294231.36
OUT-350-063,2700.0,3.58,4750.0,6.29,4743.71,298975.07
OUT-350-064,2700.0,2.82,4750.0,4.97,4745.03,303720.1
OUT-350-065,2700.0,2.22,4750.0,3.91,4746.09,308466.2
OUT-350-066,2700.0,3.06,4750.0,5.38,4744.62,313210.82
OUT-350-067,2700.0,1.75,4750.0,3.09,4746.91,317957.73
OUT-350-068,2700.0,2.4,4750.0,4.22,4745.78,322703.51
OUT-350-069,2700.0,2.66,4750.0,4.68,4745.32,327448.83
OUT-350-070,2700.0,2.23,4750.0,3.92,4746.08,332194.91
OUT-350-071,2700.0,2.26,4750.0,3.98,4746.02,336940.93
OUT-350-072,2700.0,2.43,4750.0,4.28,4745.72,341686.65
OUT-350-073,2700.0,2.28,4750.0,4.02,4745.98,346432.63
OUT-350-074,2700.0,2.19,4750.0,3.85,4746.15,351178.79
OUT-350-075,2700.0,2.07,4750.0,3.64,4746.36,355925.15
OUT-350-076,2700.0,1.88,4750.0,3.3,4746.7,360671.85
OUT-350-077,2700.0,2.11,4750.0,3.72,4746.28,365418.13
OUT-350-078,2700.0,2.46,4750.0,4.33,4745.67,370163.81
OUT-350-079,2700.0,2.9,4750.0,5.11,4744.89,374908.7
OUT-350-080,2700.0,2.23,4750.0,3.93,4746.07,379654.77
OUT-350-081,2700.0,2.02,4750.0,3.55,4746.45,384401.22
OUT-350-082,2700.0,3.14,4750.0,5.53,4744.47,389145.7
OUT-350-083,2700.0,2.04,4750.0,3.59,4746.41,393892.1
OUT-350-084,2700.0,2.54,4750.0,4.46,4745.54,398637.64
OUT-350-085,2700.0,2.13,4750.0,3.74,4746.26,403383.9
OUT-350-086,2700.0,2.21,4750.0,3.89,4746.11,408130.01
OUT-350-087,2700.0,2.65,4750.0,4.67,4745.33,412875.34
OUT-350-088,2700.0,2.68,4750.0,4.72,4745.28,417620.61
OUT-350-089,2700.0,3.01,4750.0,5.29,4744.71,422365.32
OUT-350-090,2700.0,2.77,4750.0,4.87,4745.13,427110.45
OUT-350-091,2700.0,2.56,4750.0,4.51,4745.49,431855.95
OUT-350-092,2700.0,2.75,4750.0,4.84,4745.16,436601.11
OUT-350-093,2700.0,2.09,4750.0,3.67,4746.33,441347.44
