Run ID,Target Architecture,Binary Size (KB),CI Build Time (sec),Edge Sync Latency (sec),Active Device Downtime (sec)
Run 001,aarch64,3.45,42.33,1.11,0.0031
Run 002,x86_64,2.93,39.05,0.95,0.0017
Run 003,aarch64,3.45,42.9,1.1,0.0032
Run 004,x86_64,2.93,39.42,0.88,0.0016
Run 005,aarch64,3.45,43.29,1.12,0.0033
Run 006,x86_64,2.93,38.19,0.86,0.0017
Run 007,aarch64,3.45,42.55,1.11,0.0034
Run 008,x86_64,2.93,38.54,0.83,0.0014
Run 009,aarch64,3.45,43.55,1.1,0.003
Run 010,x86_64,2.93,40.23,0.93,0.0017
Run 011,aarch64,3.45,43.18,1.04,0.0033
Run 012,x86_64,2.93,39.67,0.87,0.0016
Run 013,aarch64,3.45,43.3,1.05,0.0035
Run 014,x86_64,2.93,37.56,0.84,0.0013
Run 015,aarch64,3.45,42.64,1.16,0.003
Run 016,x86_64,2.93,38.84,0.9,0.0015
Run 017,aarch64,3.45,41.75,1.08,0.0032
Run 018,x86_64,2.93,38.98,0.91,0.0019
Run 019,aarch64,3.45,41.52,1.06,0.0031
Run 020,x86_64,2.93,38.73,0.84,0.0015
Run 021,aarch64,3.45,44.21,1.11,0.0033
Run 022,x86_64,2.93,38.11,0.79,0.0018
Run 023,aarch64,3.45,42.54,1.13,0.0031
Run 024,x86_64,2.93,38.73,0.91,0.0019
Run 025,aarch64,3.45,43.24,1.08,0.0033
Run 026,x86_64,2.93,37.22,0.94,0.0016
Run 027,aarch64,3.45,42.42,1.15,0.0033
Run 028,x86_64,2.93,38.7,0.94,0.0018
Run 029,aarch64,3.45,41.82,1.14,0.0036
Run 030,x86_64,2.93,38.41,0.87,0.0013
Run 031,aarch64,3.45,43.8,1.16,0.0034
Run 032,x86_64,2.93,38.51,0.88,0.0015
Run 033,aarch64,3.45,43.97,1.11,0.0035
Run 034,x86_64,2.93,38.89,0.87,0.0017
Run 035,aarch64,3.45,41.88,1.06,0.0031
Run 036,x86_64,2.93,38.52,0.86,0.0016
Run 037,aarch64,3.45,39.65,1.15,0.0035
Run 038,x86_64,2.93,38.71,0.93,0.0014
Run 039,aarch64,3.45,44.57,1.06,0.0031
Run 040,x86_64,2.93,38.01,0.82,0.0014
Run 041,aarch64,3.45,42.62,1.05,0.0034
Run 042,x86_64,2.93,38.77,0.87,0.0015
Run 043,aarch64,3.45,45.24,1.13,0.0035
Run 044,x86_64,2.93,39.18,0.84,0.0013
Run 045,aarch64,3.45,44.59,1.03,0.003
Run 046,x86_64,2.93,38.46,0.88,0.0018
Run 047,aarch64,3.45,42.56,1.09,0.0032
Run 048,x86_64,2.93,38.13,0.86,0.0018
Run 049,aarch64,3.45,41.77,1.13,0.0033
Run 050,x86_64,2.93,38.72,0.84,0.0015
Run 051,aarch64,3.45,44.24,1.11,0.0032
Run 052,x86_64,2.93,38.35,0.87,0.0014
Run 053,aarch64,3.45,41.66,1.17,0.0031
Run 054,x86_64,2.93,38.86,0.89,0.0017
Run 055,aarch64,3.45,42.84,1.22,0.0035
Run 056,x86_64,2.93,39.4,0.89,0.0017
Run 057,aarch64,3.45,42.64,1.14,0.0035
Run 058,x86_64,2.93,37.88,0.85,0.0018
Run 059,aarch64,3.45,42.78,1.08,0.003
Run 060,x86_64,2.93,37.94,0.9,0.0016
Run 061,aarch64,3.45,42.26,1.04,0.0035
Run 062,x86_64,2.93,39.54,0.9,0.0015
