Trial ID,Dropout Stage,Interruption Duration (sec),Reconnection Time (sec),Post-recovery Action,Update Success
Trial 001,Mid-Download,441,0.1065,Resume Cache Hash Sync,Yes
Trial 002,During Polling,224,0.2247,Resume GitHub API Poll,Yes
Trial 003,Mid-Download,101,0.1126,Resume Cache Hash Sync,Yes
Trial 004,During Polling,16,0.1013,Resume GitHub API Poll,Yes
Trial 005,Mid-Download,14,0.1013,Resume Cache Hash Sync,Yes
Trial 006,During Polling,18,0.1093,Resume GitHub API Poll,Yes
Trial 007,Mid-Download,141,0.1072,Resume Cache Hash Sync,Yes
Trial 008,During Polling,179,0.1353,Resume GitHub API Poll,Yes
Trial 009,Mid-Download,186,0.6307,Resume Cache Hash Sync,Yes
Trial 010,During Polling,17,0.1388,Resume GitHub API Poll,Yes
Trial 011,Mid-Download,28,0.1326,Resume Cache Hash Sync,Yes
Trial 012,During Polling,73,0.113,Resume GitHub API Poll,Yes
Trial 013,Mid-Download,340,0.109,Resume Cache Hash Sync,Yes
Trial 014,During Polling,249,0.1351,Resume GitHub API Poll,Yes
Trial 015,Mid-Download,276,0.1013,Resume Cache Hash Sync,Yes
Trial 016,During Polling,558,0.3079,Resume GitHub API Poll,Yes
Trial 017,Mid-Download,366,0.1295,Resume Cache Hash Sync,Yes
Trial 018,During Polling,147,0.1563,Resume GitHub API Poll,Yes
Trial 019,Mid-Download,151,0.6154,Resume Cache Hash Sync,Yes
Trial 020,During Polling,683,0.1457,Resume GitHub API Poll,Yes
Trial 021,Mid-Download,326,0.1412,Resume Cache Hash Sync,Yes
Trial 022,During Polling,54,0.1383,Resume GitHub API Poll,Yes
Trial 023,Mid-Download,21,0.1013,Resume Cache Hash Sync,Yes
Trial 024,During Polling,16,0.1247,Resume GitHub API Poll,Yes
Trial 025,Mid-Download,399,0.1271,Resume Cache Hash Sync,Yes
Trial 026,During Polling,79,0.149,Resume GitHub API Poll,Yes
Trial 027,Mid-Download,523,0.111,Resume Cache Hash Sync,Yes
Trial 028,During Polling,147,0.1212,Resume GitHub API Poll,Yes
Trial 029,Mid-Download,551,0.1188,Resume Cache Hash Sync,Yes
Trial 030,During Polling,37,0.154,Resume GitHub API Poll,Yes
Trial 031,Mid-Download,54,0.1267,Resume Cache Hash Sync,Yes
Trial 032,During Polling,154,0.1013,Resume GitHub API Poll,Yes
Trial 033,Mid-Download,359,0.2259,Resume Cache Hash Sync,Yes
Trial 034,During Polling,130,0.1123,Resume GitHub API Poll,Yes
Trial 035,Mid-Download,51,0.1095,Resume Cache Hash Sync,Yes
