Run ID,Hardware Architecture,Local Exec Latency (ms),AWS Network Latency (ms),Total RTT Latency (ms),Data Accuracy Rate (%)
Run 001,aarch64,0.986,756.533,757.519,100
Run 002,x86_64,0.911,593.122,594.033,100
Run 003,aarch64,1.027,457.241,458.268,100
Run 004,x86_64,0.913,293.368,294.281,100
Run 005,aarch64,1.041,539.414,540.455,100
Run 006,x86_64,1.041,434.915,435.957,100
Run 007,aarch64,1.038,276.25,277.287,100
Run 008,x86_64,0.863,170.656,171.519,100
Run 009,aarch64,1.101,132.465,133.566,100
Run 010,x86_64,0.864,1168.144,1169.008,100
Run 011,aarch64,0.958,366.492,367.45,100
Run 012,x86_64,1.026,99.923,100.949,100
Run 013,aarch64,1.103,205.124,206.227,100
Run 014,x86_64,0.919,100.03,100.949,100
Run 015,aarch64,0.968,267.609,268.577,100
Run 016,x86_64,0.94,672.46,673.4,100
Run 017,aarch64,1.05,273.461,274.511,100
Run 018,x86_64,1.065,726.841,727.906,100
Run 019,aarch64,1.013,593.243,594.256,100
Run 020,x86_64,1.028,99.921,100.949,100
Run 021,aarch64,0.984,492.894,493.878,100
Run 022,x86_64,0.814,707.697,708.511,100
Run 023,aarch64,1.093,395.643,396.736,100
Run 024,x86_64,0.966,332.361,333.327,100
Run 025,aarch64,1.037,341.171,342.208,100
Run 026,x86_64,0.859,100.09,100.949,100
Run 027,aarch64,0.966,146.793,147.759,100
Run 028,x86_64,0.965,280.974,281.939,100
Run 029,aarch64,1.109,99.841,100.949,100
Run 030,x86_64,0.947,937.268,938.215,100
Run 031,aarch64,1.065,372.377,373.442,100
Run 032,x86_64,1.02,99.929,100.949,100
Run 033,aarch64,0.99,697.428,698.419,100
Run 034,x86_64,0.855,759.591,760.446,100
Run 035,aarch64,1.098,1330.615,1331.713,100
Run 036,x86_64,0.957,342.779,343.737,100
Run 037,aarch64,1.088,1011.823,1012.911,100
Run 038,x86_64,0.815,708.45,709.265,100
Run 039,aarch64,0.921,740.167,741.088,100
Run 040,x86_64,0.82,798.426,799.247,100
Run 041,aarch64,0.95,479.55,480.5,100
Run 042,x86_64,0.818,801.762,802.58,100
Run 043,aarch64,1.048,1150.333,1151.38,100
Run 044,x86_64,0.998,99.951,100.949,100
Run 045,aarch64,0.923,100.026,100.949,100
Run 046,x86_64,0.805,322.724,323.529,100
Run 047,aarch64,1.064,101.581,102.646,100
Run 048,x86_64,0.951,331.463,332.414,100
Run 049,aarch64,1.06,99.89,100.949,100
Run 050,x86_64,0.854,771.69,772.544,100
Run 051,aarch64,1.104,126.616,127.72,100
Run 052,x86_64,0.986,357.328,358.314,100
Run 053,aarch64,0.97,99.979,100.949,100
Run 054,x86_64,0.824,923.706,924.529,100
Run 055,aarch64,1.112,131.056,132.168,100
Run 056,x86_64,1.009,470.1,471.109,100
Run 057,aarch64,0.98,471.215,472.195,100
Run 058,x86_64,1.098,264.935,266.033,100
Run 059,aarch64,1.05,770.728,771.778,100
Run 060,x86_64,0.913,474.435,475.348,100
Run 061,aarch64,1.015,99.934,100.949,100
Run 062,x86_64,0.825,100.124,100.949,100
Run 063,aarch64,1.089,194.871,195.96,100
Run 064,x86_64,1.093,136.054,137.147,100
Run 065,aarch64,1.115,1057.186,1058.301,100
Run 066,x86_64,0.869,100.08,100.949,100
Run 067,aarch64,1.1,228.832,229.932,100
Run 068,x86_64,0.881,100.068,100.949,100
Run 069,aarch64,1.105,278.615,279.72,100
Run 070,x86_64,0.963,123.249,124.212,100
Run 071,aarch64,1.052,710.454,711.506,100
Run 072,x86_64,0.805,1053.798,1054.602,100
Run 073,aarch64,0.961,824.481,825.442,100
Run 074,x86_64,1.046,941.597,942.644,100
Run 075,aarch64,1.106,253.443,254.549,100
Run 076,x86_64,0.97,855.467,856.437,100
Run 077,aarch64,1.09,194.23,195.32,100
Run 078,x86_64,0.915,100.034,100.949,100
